ori,dir,sum_count
41,280,3
41,1361,3
80,1015,3
115,280,3
115,558,3
117,708,3
227,264,6
227,303,5
227,321,5
227,561,5
227,887,6
227,908,6
227,909,5
227,910,7
227,1125,6
227,1279,5
243,1687,3
280,558,3
286,1015,3
286,1750,3
286,1916,3
332,1729,3
558,1361,3
626,883,4
626,1082,4
626,1636,4
630,858,8
639,692,5
759,1015,3
759,1038,3
817,966,3
817,1001,3
817,1008,3
817,1036,3
817,1077,3
817,1200,3
817,1239,3
817,1360,3
817,1363,3
817,1369,3
817,1451,3
817,1744,3
817,1851,3
817,1882,3
817,1893,3
817,1909,3
890,1015,3
890,1729,3
890,1732,3
890,1750,3
890,1789,3
890,1916,3
923,1636,3
970,1001,3
970,1008,3
970,1036,3
970,1077,3
970,1200,4
970,1239,3
970,1360,3
970,1369,3
970,1451,3
970,1744,3
970,1851,3
970,1882,3
970,1893,4
970,1909,4
1015,1124,3
1015,1554,3
1015,1729,3
1015,1827,3
1038,1554,3
1124,1729,3
1124,1750,3
1124,1916,3
1332,1597,3
1360,1361,3
1363,1369,3
1363,1371,3
1363,1451,3
1363,1744,3
1363,1851,3
1363,1882,3
1363,1893,3
1363,1909,3
1367,1369,3
1367,1451,3
1367,1744,3
1367,1851,3
1367,1882,3
1367,1893,3
1367,1909,3
1440,1470,3
1440,1471,3
1440,1597,4
1440,1913,4
1455,1744,3
1455,1851,3
1455,1882,3
1455,1893,3
1455,1909,3
1471,1913,3
1597,1913,4
1722,1725,3
1728,1729,3
1728,1732,3
1728,1750,3
1728,1827,3
1728,1916,3
1732,1750,3
1732,1916,3
1735,1848,3
1738,1749,3
1827,1916,3
1912,1917,3
94,92,6
117,115,4
191,182,3
266,182,3
282,182,3
286,80,3
336,111,4
387,182,3
394,376,4
414,231,3
421,371,4
436,271,10
439,182,3
444,182,3
453,182,3
454,182,3
479,115,4
479,280,3
495,117,3
533,157,4
552,314,4
567,379,4
578,182,3
581,182,3
582,379,3
586,585,3
592,182,3
623,157,4
623,533,5
626,99,4
626,155,4
626,157,4
626,533,4
626,623,4
729,222,5
753,115,3
753,280,3
753,558,3
770,558,3
785,115,3
785,280,3
785,558,3
791,717,4
813,115,4
813,280,3
813,558,3
817,115,3
817,558,3
837,170,5
846,269,3
850,222,5
883,99,5
890,80,3
892,379,3
898,46,3
898,133,3
898,831,3
929,46,3
929,133,3
929,831,3
941,280,4
962,356,3
966,115,3
966,280,3
966,558,3
984,1,3
986,280,4
1001,115,3
1001,280,3
1001,558,3
1008,115,3
1008,280,3
1008,558,3
1011,379,4
1015,332,3
1019,182,3
1023,182,3
1036,115,3
1036,280,3
1036,558,3
1037,182,3
1038,80,3
1038,1015,3
1077,115,3
1077,280,3
1077,558,3
1082,99,5
1082,883,5
1109,630,8
1124,332,3
1149,46,3
1149,133,3
1149,831,3
1172,1,3
1172,984,3
1200,115,3
1200,280,4
1200,558,3
1239,115,3
1239,280,3
1239,558,3
1311,1290,3
1319,379,4
1360,115,3
1360,280,3
1360,558,3
1363,115,3
1363,280,3
1363,1360,3
1363,1361,4
1367,558,3
1367,1360,3
1369,115,3
1369,280,3
1369,558,3
1369,1361,3
1371,115,3
1371,558,3
1403,1117,4
1440,46,3
1440,133,4
1440,831,3
1451,115,3
1451,280,3
1451,558,3
1451,1361,3
1451,1371,3
1465,717,3
1465,791,3
1481,1475,7
1498,561,3
1597,1471,3
1636,23,4
1636,155,4
1697,1647,3
1717,608,4
1720,1124,3
1727,1290,3
1727,1311,3
1728,1124,3
1728,1720,3
1731,1290,3
1731,1311,3
1731,1727,3
1732,1124,3
1732,1729,3
1744,115,3
1744,280,3
1744,558,3
1744,1361,3
1744,1371,3
1747,1732,3
1750,1729,3
1786,1723,3
1789,1015,3
1789,1723,3
1791,1723,4
1827,1124,3
1827,1720,3
1827,1729,3
1827,1732,3
1827,1750,3
1851,115,3
1851,280,3
1851,558,3
1851,1361,3
1851,1371,3
1882,115,3
1882,280,3
1882,558,3
1882,1361,3
1882,1371,3
1893,115,3
1893,280,4
1893,558,3
1893,1361,3
1893,1371,3
1909,115,3
1909,280,4
1909,558,3
1909,1361,3
1909,1371,3
1912,46,3
1912,133,3
1912,831,3
1916,1729,3
1916,1750,3
